,Title,Series,Number,Status,Release Date,PDF Link
260,Interagency Report on the Status of International Cybersecurity Standardization for the Internet of Things (IoT),IR,8200,Final,11/29/2018,https://nvlpubs.nist.gov/nistpubs/ir/2018/NIST.IR.8200.pdf
261,Blockchain Technology Overview,IR,8202,Final,10/03/2018,https://nvlpubs.nist.gov/nistpubs/ir/2018/NIST.IR.8202.pdf
262,Security Content Automation Protocol (SCAP) Version 1.3 Validation Program Test Requirements,IR,7511 Rev. 5,Final,4/20/2018,https://nvlpubs.nist.gov/nistpubs/ir/2018/NIST.IR.7511r5.pdf
263,Criticality Analysis Process Model: Prioritizing Systems and Components,IR,8179,Final,4/09/2018,https://nvlpubs.nist.gov/nistpubs/ir/2018/NIST.IR.8179.pdf
264,Developing Trust Frameworks to Support Identity Federations,IR,8149,Final,1/12/2018,https://nvlpubs.nist.gov/nistpubs/ir/2018/NIST.IR.8149.pdf
265,Attribute Metadata: A Proposed Schema for Evaluating Federated Attributes,IR,8112,Final,1/12/2018,https://nvlpubs.nist.gov/nistpubs/ir/2018/NIST.IR.8112.pdf
266,Internet of Things (IoT) Cybersecurity Colloquium: A NIST Workshop Proceedings,IR,8201,Final,12/22/2017,https://nvlpubs.nist.gov/nistpubs/ir/2017/NIST.IR.8201.pdf
267,Security Assurance Requirements for Linux Application Container Deployments,IR,8176,Final,10/11/2017,https://nvlpubs.nist.gov/nistpubs/ir/2017/NIST.IR.8176.pdf
268,Exploratory Lens Model of Decision-Making in a Potential Phishing Attack Scenario,IR,8194,Final,10/10/2017,https://nvlpubs.nist.gov/nistpubs/ir/2017/NIST.IR.8194.pdf
269,Enhancing Resilience of the Internet and Communications Ecosystem: A NIST Workshop Proceedings,IR,8192,Final,9/18/2017,https://nvlpubs.nist.gov/nistpubs/ir/2017/NIST.IR.8192.pdf
270,Key Performance Indicators for Process Control System Cybersecurity Performance Analysis,IR,8188,Final,8/03/2017,https://nvlpubs.nist.gov/nistpubs/ir/2017/NIST.IR.8188.pdf
271,Automation Support for Security Control Assessments: Volume 1: Overview,IR,8011 Vol. 1,Final,6/06/2017,https://nvlpubs.nist.gov/nistpubs/ir/2017/NIST.IR.8011-1.pdf
272,Automation Support for Security Control Assessments: Volume 2: Hardware Asset Management,IR,8011 Vol. 2,Final,6/06/2017,https://nvlpubs.nist.gov/nistpubs/ir/2017/NIST.IR.8011-2.pdf
273,Report on Lightweight Cryptography,IR,8114,Final,3/28/2017,https://nvlpubs.nist.gov/nistpubs/ir/2017/NIST.IR.8114.pdf
274,Impact of Code Complexity on Software Analysis,IR,8165,Final,2/09/2017,https://nvlpubs.nist.gov/nistpubs/ir/2017/NIST.IR.8165.pdf
275,An Overview of Mobile Application Vetting Services for Public Safety,IR,8136,Final,1/27/2017,https://nvlpubs.nist.gov/nistpubs/ir/2017/NIST.IR.8136.pdf
276,An Introduction to Privacy Engineering and Risk Management in Federal Systems,IR,8062,Final,1/04/2017,https://nvlpubs.nist.gov/nistpubs/ir/2017/NIST.IR.8062.pdf
277,Dramatically Reducing Software Vulnerabilities: Report to the White House Office of Science and Technology Policy,IR,8151,Final,11/30/2016,https://nvlpubs.nist.gov/nistpubs/ir/2016/NIST.IR.8151.pdf
278,Small Business Information Security: The Fundamentals,IR,7621 Rev. 1,Final,11/03/2016,https://nvlpubs.nist.gov/nistpubs/ir/2016/NIST.IR.7621r1.pdf
279,Advanced Identity Workshop on Applying Measurement Science in the Identity Ecosystem:  Summary and Next Steps,IR,8103,Final,9/19/2016,https://nvlpubs.nist.gov/nistpubs/ir/2016/NIST.IR.8103.pdf
280,Usability and Security Considerations for Public Safety Mobile Authentication,IR,8080,Final,7/27/2016,https://nvlpubs.nist.gov/nistpubs/ir/2016/NIST.IR.8080.pdf
281,Identifying and Categorizing Data Types for Public Safety Mobile Applications: Workshop Report,IR,8135,Final,6/01/2016,https://nvlpubs.nist.gov/nistpubs/ir/2016/NIST.IR.8135.pdf
282,Report on Post-Quantum Cryptography,IR,8105,Final,4/28/2016,https://nvlpubs.nist.gov/nistpubs/ir/2016/NIST.IR.8105.pdf
283,Measuring the Usability and Security of Permuted Passwords on Mobile Platforms,IR,8040,Final,4/25/2016,https://nvlpubs.nist.gov/nistpubs/ir/2016/NIST.IR.8040.pdf
284,Guidelines for the Creation of Interoperable Software Identification (SWID) Tags,IR,8060,Final,4/22/2016,https://nvlpubs.nist.gov/nistpubs/ir/2016/NIST.IR.8060.pdf
285,NIST Cryptographic Standards and Guidelines Development Process,IR,7977,Final,3/31/2016,https://nvlpubs.nist.gov/nistpubs/ir/2016/NIST.IR.7977.pdf
286,NSTIC Pilots: Catalyzing the Identity Ecosystem,IR,8054,Final,3/15/2016,https://nvlpubs.nist.gov/nistpubs/ir/2015/NIST.IR.8054.pdf
287,Security Content Automation Protocol (SCAP) Version 1.2 Validation Program Test Requirements,IR,7511 Rev. 4,Final,1/28/2016,https://nvlpubs.nist.gov/nistpubs/ir/2016/NIST.IR.7511r4.pdf
288,Derived Personal Identity Verification (PIV) Credentials (DPC) Proof of Concept Research,IR,8055,Final,1/20/2016,https://nvlpubs.nist.gov/nistpubs/ir/2016/NIST.IR.8055.pdf
289,Supplemental Information for the Interagency Report on Strategic U.S. Government Engagement in International Standardization to Achieve U.S. Objectives for Cybersecurity,IR,8074 Vol. 2,Final,12/23/2015,https://nvlpubs.nist.gov/nistpubs/ir/2015/NIST.IR.8074v2.pdf
290,Interagency Report on Strategic U.S. Government Engagement in International Standardization to Achieve U.S. Objectives for Cybersecurity,IR,8074 Vol. 1,Final,12/23/2015,https://nvlpubs.nist.gov/nistpubs/ir/2015/NIST.IR.8074v1.pdf
291,Trusted Geolocation in the Cloud: Proof of Concept Implementation,IR,7904,Final,12/10/2015,https://nvlpubs.nist.gov/nistpubs/ir/2015/NIST.IR.7904.pdf
292,An Industrial Control System Cybersecurity Performance Testbed,IR,8089,Final,12/10/2015,https://nvlpubs.nist.gov/nistpubs/ir/2015/NIST.IR.8089.pdf
293,"Policy Machine: Features, Architecture, and Specification",IR,7987 Rev. 1,Final,10/27/2015,https://nvlpubs.nist.gov/nistpubs/ir/2015/NIST.IR.7987r1.pdf
294,De-Identification of Personal Information,IR,8053,Final,10/22/2015,https://nvlpubs.nist.gov/nistpubs/ir/2015/NIST.IR.8053.pdf
295,Security of Interactive and Automated Access Management Using Secure Shell (SSH),IR,7966,Final,10/15/2015,https://nvlpubs.nist.gov/nistpubs/ir/2015/NIST.IR.7966.pdf
296,Cardholder Authentication for the PIV Digital Signature Key,IR,7863,Final,6/18/2015,https://nvlpubs.nist.gov/nistpubs/ir/2015/NIST.IR.7863.pdf
297,Proceedings of the Cybersecurity for Direct Digital Manufacturing (DDM) Symposium,IR,8041,Final,4/10/2015,https://nvlpubs.nist.gov/nistpubs/ir/2015/NIST.IR.8041.pdf
298,Considerations for Identity Management in Public Safety Mobile Networks,IR,8014,Final,3/30/2015,https://nvlpubs.nist.gov/nistpubs/ir/2015/NIST.IR.8014.pdf
299,Advanced Metering Infrastructure Smart Meter Upgradeability Test Framework,IR,7823,Final,3/02/2015,https://nvlpubs.nist.gov/nistpubs/ir/2015/NIST.IR.7823.pdf
300,Risk Management for Replication Devices,IR,8023,Final,2/23/2015,https://nvlpubs.nist.gov/nistpubs/ir/2015/NIST.IR.8023.pdf
301,Public Safety Mobile Application Security Requirements Workshop Summary,IR,8018,Final,1/22/2015,https://nvlpubs.nist.gov/nistpubs/ir/2015/NIST.IR.8018.pdf
302,Guidelines for Smart Grid Cybersecurity,IR,7628 Rev. 1,Final,9/25/2014,https://nvlpubs.nist.gov/nistpubs/ir/2014/NIST.IR.7628r1.pdf
303,CVSS Implementation Guidance,IR,7946,Final,4/28/2014,https://nvlpubs.nist.gov/nistpubs/ir/2014/NIST.IR.7946.pdf
304,United States Federal Employees' Password Management Behaviors – A Department of Commerce Case Study,IR,7991,Final,4/08/2014,https://nvlpubs.nist.gov/nistpubs/ir/2014/NIST.IR.7991.pdf
305,A Methodology for Developing Authentication Assurance Level Taxonomy for Smart Card-based Identity Verification,IR,7849,Final,3/05/2014,https://nvlpubs.nist.gov/nistpubs/ir/2014/NIST.IR.7849.pdf
306,Report: Authentication Diary Study,IR,7983,Final,2/04/2014,https://nvlpubs.nist.gov/nistpubs/ir/2014/NIST.IR.7983.pdf
307,Taxonomic Rules for Password Policies: Translating the Informal to the Formal Language,IR,7970,Final,12/09/2013,https://nvlpubs.nist.gov/nistpubs/ir/2013/NIST.IR.7970.pdf
308,Cryptographic Key Management Issues & Challenges in Cloud Services,IR,7956,Final,9/18/2013,https://nvlpubs.nist.gov/nistpubs/ir/2013/NIST.IR.7956.pdf
309,Conformance Test Architecture and Test Suite for ANSI/NIST-ITL 1-2011 NIEM XML Encoded Transactions,IR,7957,Final,9/18/2013,https://nvlpubs.nist.gov/nistpubs/ir/2013/NIST.IR.7957.pdf
310,Requirements and Conformance Test Assertions for ANSI/NIST-ITL 1-2011 Record Type 18 - DNA Record,IR,7933,Final,6/21/2013,https://nvlpubs.nist.gov/nistpubs/ir/2013/NIST.IR.7933.pdf
311,"Proceedings of the Cybersecurity in Cyber-Physical Systems Workshop, April 23-24, 2012",IR,7916,Final,2/15/2013,https://nvlpubs.nist.gov/nistpubs/ir/2013/NIST.IR.7916.pdf
312,A Credential Reliability and Revocation Model for Federated Identities,IR,7817,Final,11/29/2012,https://nvlpubs.nist.gov/nistpubs/ir/2012/NIST.IR.7817.pdf
313,Third-Round Report of the SHA-3 Cryptographic Hash Algorithm Competition,IR,7896,Final,11/15/2012,https://nvlpubs.nist.gov/nistpubs/ir/2012/NIST.IR.7896.pdf
314,Combinatorial Coverage Measurement,IR,7878,Final,10/26/2012,https://nvlpubs.nist.gov/nistpubs/ir/2012/NIST.IR.7878.pdf
315,Notional Supply Chain Risk Management Practices for Federal Information Systems,IR,7622,Final,10/16/2012,https://nvlpubs.nist.gov/nistpubs/ir/2012/NIST.IR.7622.pdf
316,BioCTS 2012: Advanced Conformance Test Architectures and Test Suites for Biometric Data Interchange Formats and Biometric Information Records,IR,7877,Final,9/14/2012,https://nvlpubs.nist.gov/nistpubs/ir/2012/NIST.IR.7877.pdf
317,Guidelines for Access Control System Evaluation Metrics,IR,7874,Final,9/14/2012,https://nvlpubs.nist.gov/nistpubs/ir/2012/NIST.IR.7874.pdf
318,Usability of PIV Smartcards for Logical Access,IR,7867 E2012,Final,8/01/2012,https://nvlpubs.nist.gov/nistpubs/ir/2012/NIST.IR.7867.pdf
319,NIST Test Personal Identity Verification (PIV) Cards,IR,7870,Final,7/12/2012,https://nvlpubs.nist.gov/nistpubs/ir/2012/NIST.IR.7870.pdf
320,The Common Misuse Scoring System (CMSS): Metrics for Software Feature Misuse Vulnerabilities,IR,7864,Final,7/10/2012,https://nvlpubs.nist.gov/nistpubs/ir/2012/NIST.IR.7864.pdf
321,Computer Security Division 2011 Annual Report,IR,7816,Final,5/08/2012,https://nvlpubs.nist.gov/nistpubs/ir/2012/NIST.IR.7816.pdf
322,Specification for the Extensible Configuration Checklist Description Format (XCCDF) Version 1.2,IR,7275 Rev. 4,Final,3/01/2012,https://csrc.nist.gov/files/pubs/ir/7275/r4/upd1/final/docs/nistir-7275r4_updated-march-2012_clean.pdf
323,Trust Model for Security Automation Data 1.0 (TMSAD),IR,7802,Final,9/20/2011,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7802.pdf
324,ANSI/NIST-ITL 1-2011 Requirements and Conformance Test Assertions,IR,7806,Final,9/16/2011,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7806.pdf
325,Information System Security Best Practices for UOCAVA-Supporting Systems,IR,7682,Final,9/15/2011,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7682.pdf
326,Security Best Practices for the Electronic Transmission of Election Materials for UOCAVA Voters,IR,7711,Final,9/15/2011,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7711.pdf
327,Common Platform Enumeration: Dictionary Specification Version 2.3,IR,7697,Final,8/19/2011,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7697.pdf
328,Common Platform Enumeration: Naming Specification Version 2.3,IR,7695,Final,8/19/2011,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7695.pdf
329,Common Platform Enumeration: Applicability Language Specification Version 2.3,IR,7698,Final,8/19/2011,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7698.pdf
330,Common Platform Enumeration: Name Matching Specification Version 2.3,IR,7696,Final,8/19/2011,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7696.pdf
331,Security Risk Analysis of Enterprise Networks Using Probabilistic Attack Graphs,IR,7788,Final,8/01/2011,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7788.pdf
332,Access Control for SAR Systems,IR,7815,Final,7/01/2011,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7815.pdf
333,Conformance Test Architecture and Test Suite for ANSI/NIST-ITL 1-2007,IR,7791,Final,6/22/2011,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7791.pdf
334,Specification for Asset Reporting Format 1.1,IR,7694,Final,6/21/2011,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7694.pdf
335,Specification for Asset Identification 1.1,IR,7693,Final,6/17/2011,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7693.pdf
336,Computer Security Division 2010 Annual Report,IR,7751,Final,5/31/2011,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7751.pdf
337,Specification for the Open Checklist Interactive Language (OCIL) Version 2.0,IR,7692,Final,4/07/2011,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7692.pdf
338,Conformance Test Architecture for Biometric Data Interchange Formats - Version Beta 2.0,IR,7771,Final,2/28/2011,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7771.pdf
339,Status Report on the Second Round of the SHA-3 Cryptographic Hash Algorithm Competition,IR,7764,Final,2/23/2011,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7764.pdf
340,Security Considerations for Remote Electronic UOCAVA Voting,IR,7770,Final,2/21/2011,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7770.pdf
341,The Common Configuration Scoring System (CCSS): Metrics for Software Security Configuration Vulnerabilities,IR,7502,Final,12/27/2010,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7502.pdf
342,An Application of Combinatorial Methods to Conformance Testing for Document Object Model Events,IR,7773,Final,11/01/2010,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7773.pdf
343,Security Architecture Design Process for Health Information Exchanges (HIEs),IR,7497,Final,9/30/2010,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7497.pdf
344,Framework for Emergency Response Officials (ERO): Authentication and Authorization Infrastructure,IR,7601,Final,8/31/2010,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7601.pdf
345,Forensics Web Services (FWS),IR,7559,Final,6/30/2010,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7559.pdf
346,Maintaining and Using Key History on Personal Identity Verification (PIV) Cards,IR,7676,Final,6/18/2010,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7676.pdf
347,A Report on the Privilege (Access) Management Workshop,IR,7657,Final,3/30/2010,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7657.pdf
348,Computer Security Division 2009 Annual Report,IR,7653,Final,3/23/2010,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7653.pdf
349,Guide to SIMfill Use and Development,IR,7658,Final,2/24/2010,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7658.pdf
350,"Cryptographic Key Management Workshop Summary -- June 8-9, 2009",IR,7609,Final,1/08/2010,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7609.pdf
351,"Proceedings of the Privilege Management Workshop, September 1-3, 2009",IR,7665,Final,1/01/2010,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7665.pdf
352,Mobile Forensic Reference Materials: a Methodology and Reification,IR,7617,Final,10/14/2009,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7617.pdf
353,System and Network Security Acronyms and Abbreviations,IR,7581,Final,9/30/2009,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7581.pdf
354,Status Report on the First Round of the SHA-3 Cryptographic Hash Algorithm Competition,IR,7620,Final,9/23/2009,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7620.pdf
355,Use of ISO/IEC 24727,IR,7611,Final,8/14/2009,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7611.pdf
356,Directions in Security Metrics Research,IR,7564,Final,4/30/2009,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7564.pdf
357,Computer Security Division 2008 Annual Report,IR,7536,Final,3/16/2009,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7536.pdf
358,Symmetric Key Injection onto Smart Cards,IR,7539,Final,12/22/2008,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7539.pdf
359,A Threat Analysis on UOCAVA Voting Systems,IR,7551,Final,12/19/2008,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7551.pdf
360,Forensic Filtering of Cell Phone Protocols,IR,7516,Final,8/27/2008,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7516.pdf
361,Computer Security Division 2007 Annual Report,IR,7442,Final,4/01/2008,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7442.pdf
362,Specification for the Extensible Configuration Checklist Description Format (XCCDF) Version 1.1.4,IR,7275 Rev. 3,Final,1/01/2008,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7275r3.pdf
363,Secure Biometric Match-on-Card Feasibility Report,IR,7452,Final,11/30/2007,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7452.pdf
364,"6th Annual PKI R&D Workshop ""Applications-Driven PKI"" Proceedings",IR,7427,Final,9/13/2007,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7427.pdf
365,The Common Vulnerability Scoring System (CVSS) and its Applicability to Federal Agency Systems,IR,7435,Final,8/30/2007,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7435.pdf
366,Cell Phone Forensic Tools: an Overview and Analysis Update,IR,7387,Final,3/21/2007,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7387.pdf
367,Computer Security Division 2006 Annual Report,IR,7399,Final,3/21/2007,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7399.pdf
368,Information Security Guide for Government Executives,IR,7359,Final,1/01/2007,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7359.pdf
369,Program Review for Information Security Management Assistance (PRISMA),IR,7358,Final,1/01/2007,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7358.pdf
370,Specification for the Extensible Configuration Checklist Description Format (XCCDF) Version 1.1,IR,7275,Final,11/01/2006,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7275.pdf
371,Assessment of Access Control Systems,IR,7316,Final,9/29/2006,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7316.pdf
372,Personal Identity Verification Demonstration Summary,IR,7337,Final,8/31/2006,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7337.pdf
373,"5th Annual PKI R&D Workshop ""Making PKI Easy to Use"" Proceedings",IR,7313,Final,7/18/2006,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7313.pdf
374,An Algorithm for Generating Very Large Covering Arrays,IR,7308,Final,3/20/2006,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7308.pdf
375,Fingerprint Identification and Mobile Handheld Devices: An Overview and Implementation,IR,7290,Final,3/01/2006,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7290.pdf
376,Computer Security Division 2005 Annual Report,IR,7285,Final,2/01/2006,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7285.pdf
377,Personal Identity Verification Card Management Report,IR,7284,Final,1/06/2006,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7284.pdf
378,Cell Phone Forensic Tools: an Overview and Analysis,IR,7250,Final,10/19/2005,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7250.pdf
379,Computer Security Division 2004 Annual Report,IR,7219,Final,8/01/2005,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7219.pdf
380,"4th Annual PKI R&D Workshop ""Multiple Paths to Trust"" Proceedings",IR,7224,Final,8/01/2005,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7224.pdf
381,Smart Cards and Mobile Device Authentication: an Overview and Implementation,IR,7206,Final,7/01/2005,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7206.pdf
382,Proximity Beacons and Mobile Device Authentication: an Overview and Implementation,IR,7200,Final,6/01/2005,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7200.pdf
383,Specification for the Extensible Configuration Checklist Description Format (XCCDF),IR,7188,Final,1/01/2005,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7188.pdf
384,PDA Forensic Tools: an Overview and Analysis,IR,7100,Final,8/01/2004,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7100.pdf
385,Computer Security Division 2003 Annual Report,IR,7111,Final,4/30/2004,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7111.pdf
386,Common Biometric Exchange Formats Framework (CBEFF),IR,6529A,Final,4/05/2004,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir6529-a.pdf
387,2nd Annual PKI Research Workshop Proceedings,IR,7085,Final,4/01/2004,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7085.pdf
388,Card Technology Developments and Gap Analysis Interagency Report,IR,7056,Final,3/01/2004,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7056.pdf
389,1st Annual PKI Research Workshop Proceedings,IR,7059,Final,11/12/2003,https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=151288
390,A Framework for Multi-mode Authentication: Overview and Implementation Guide,IR,7046,Final,8/01/2003,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7046.pdf
391,"Government Smart Card Interoperability Specification, Version 2.1",IR,6887 E2003,Final,7/16/2003,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir6887e2003.pdf
392,An Overview of Issues in Testing Intrusion Detection Systems,IR,7007,Final,7/11/2003,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7007.pdf
393,Picture Password: A Visual Login Technique for Mobile Devices,IR,7030,Final,7/01/2003,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7030.pdf
394,Vulnerabilities in Quantum Key Distribution Protocols,IR,6977,Final,5/01/2003,https://nvlpubs.nist.gov/nistpubs/ir/2003/ir6977.pdf
395,"COTS Security Protection Profile - Operating Systems (CSPP-OS) (Worked Example Applying Guidance of NISTIR-6462, CSPP) Version 1.0",IR,6985,Final,4/01/2003,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir6985.pdf
396,Policy Expression and Enforcement for Handheld Devices,IR,6981,Final,4/01/2003,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir6981.pdf
397,IT Security for Industrial Control Systems,IR,6859,Final,2/28/2002,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir6859.pdf
398,Randomness Testing of the Advanced Encryption Standard Finalist Candidates,IR,6483,Final,4/01/2000,https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=151216
399,CSPP - Guidance for COTS Security Protection Profiles (Formerly: CS2 - Protection Profile Guidance for Near-Term COTS) Version 1.0,IR,6462,Final,12/01/1999,https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=151208
400,Applying Mobile Agents to Intrusion Detection and Response,IR,6416,Final,10/01/1999,https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=151202
401,Randomness Testing of the Advanced Encryption Standard Candidate Algorithms,IR,6390,Final,9/01/1999,https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=151193
402,A Revised Model for Role Based Access Control,IR,6192,Final,7/09/1998,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir6192.pdf
403,The TMACH Experiment Phase 1 - Preliminary Developmental Evaluation,IR,5810,Final,6/01/1996,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir5810.pdf
404,Distributed Communication Methods and Role-Based Access Control for Use in Health Care Applications,IR,5820,Final,4/01/1996,https://www.nist.gov/manuscript-publication-search.cfm?pub_id=900786
405,"Validated Products List 1995 no. 4: Programming Languages, Database Language SQL, Graphics, POSIX, Computer Security, Product Data - IGES, OSI",IR,5731,Final,10/01/1995,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir5731.pdf
406,Computer Security Training & Awareness Course Compendium,IR,5495,Final,9/01/1994,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir5495.pdf
407,"A Head Start on Assurance: Proceedings of an Invitational Workshop on Information Technology (IT) Assurance and Trustworthiness, March 21-23, 1994",IR,5472,Final,8/01/1994,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir5472.pdf
408,A Study of Federal Agency Needs for Information Technology Security,IR,5424,Final,5/01/1994,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir5424.pdf
409,Preliminary Functional Specifications of a Prototype Electronic Research Notebook for NIST,IR,5395,Final,4/01/1994,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir5395.pdf
410,Proceedings of the Workshop of the Federal Criteria for Information Technology Security,IR,5386,Final,3/01/1994,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir5386.pdf
411,Conformance Assessment of Transport Layer Security Implementations,IR,5325,Final,12/01/1993,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir5325.pdf
412,General Procedures for Registering Computer Security Objects,IR,5308,Final,12/01/1993,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir5308.pdf
413,"Report of the NIST Workshop on Digital Signature Certificate Management, December 10-11, 1992",IR,5234,Final,10/01/1993,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir5234.pdf
414,Security of SQL-Based Implementations of Product Data Exchange Using STEP,IR,5283,Final,10/01/1993,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir5283.pdf
415,Workshop on Security Procedures for the Interchange of Electronic Documents: Selected Papers and Results,IR,5247,Final,8/01/1993,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir5247.pdf
416,"Report of the NSF/NIST Workshop on NSFNET/NREN Security, July 6-7, 1992",IR,5232,Final,5/01/1993,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir5232.pdf
417,Minimum Security Requirements for Multi-User Operating Systems,IR,5153,Final,3/01/1993,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir5153.pdf
418,A Study of OSI Key Management,IR,4983,Final,11/01/1992,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir4983.pdf
419,Assessing Federal and Commercial Information Security Needs,IR,4976,Final,11/01/1992,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir4976.pdf
420,Threat Assessment of Malicious Code and External Attacks,IR,4939,Final,10/01/1992,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir4939.pdf
421,Protocol Implementation Conformance Statement (PICS) Proforma for the SDNS Security Protocol at Layer 4 (SP4),IR,4934,Final,10/01/1992,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir4934.pdf
422,Computer Security Bulletin Board System: User's Guide,IR,4933,Final,9/01/1992,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir4933.pdf
